pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
28219,"8.964,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26397,"1.859,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28217,"1.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28217,"5.600,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26393,"12.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28158,"1.426,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28158,"1.426,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26386,"6.500,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
26438,"2.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26438,"9.508,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
28207,"10.000,00",Cheque,10,"R$ 0,00",,,,,,,,,,,
28207,"400,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26434,"21.680,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26387,"5.960,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26433,"12.000,00",Crédito,10,"R$ 0,00",,,,,,,,,,,
26433,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26432,"5.600,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28204,"1.560,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28205,"3.566,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28157,"3.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28157,"3.300,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26424,"5.000,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26428,"2.500,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26427,"4.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26429,"5.346,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26385,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28156,"230,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28153,"2.180,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28153,"2.000,00",Débito,1,"R$ 28,80",,,,,,,,,,,
28152,"1.590,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28152,"6.999,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
28203,"3.100,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28202,"3.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26431,"7.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26384,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26384,"9.000,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26430,"800,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26430,"2.510,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
